sep=|
ESTADO|DISTRITO|PARTIDO_CI|CANDIDATURA_PROPIETARIA|CANDIDATURA_SUPLENTE
2|6|PVEM|CLAUDIA NIETO PEREZ|CITA MIRELLA CAZARES PALOMO
2|6|PT|JAVIER JULIAN CASTAÑEDA POMPOSO|ERWIN JORGE AREIZAGA URIBE
2|6|MC|ADRIANA GUADALUPE SANCHEZ MARTINEZ|YADIRA ANAYA GONZALEZ
2|6|PANAL|IRMA YOSELINE MIRANDA CASTRO|LUCIA DEL CARMEN MANZANO ESPINOSA DE LOS MONTEROS
2|6|MORENA|JAVIER JULIAN CASTAÑEDA POMPOSO|ERWIN JORGE AREIZAGA URIBE
2|6|PES|JAVIER JULIAN CASTAÑEDA POMPOSO|ERWIN JORGE AREIZAGA URIBE
2|6|PAN-PRD-MC|ADRIANA GUADALUPE SANCHEZ MARTINEZ|YADIRA ANAYA GONZALEZ
2|6|PAN-PRD|ADRIANA GUADALUPE SANCHEZ MARTINEZ|YADIRA ANAYA GONZALEZ
2|6|PAN-MC|ADRIANA GUADALUPE SANCHEZ MARTINEZ|YADIRA ANAYA GONZALEZ
2|6|PRD-MC|ADRIANA GUADALUPE SANCHEZ MARTINEZ|YADIRA ANAYA GONZALEZ
2|6|PT-MORENA-PES|JAVIER JULIAN CASTAÑEDA POMPOSO|ERWIN JORGE AREIZAGA URIBE
2|6|PT-MORENA|JAVIER JULIAN CASTAÑEDA POMPOSO|ERWIN JORGE AREIZAGA URIBE
2|6|PT-PES|JAVIER JULIAN CASTAÑEDA POMPOSO|ERWIN JORGE AREIZAGA URIBE
2|6|MORENA-PES|JAVIER JULIAN CASTAÑEDA POMPOSO|ERWIN JORGE AREIZAGA URIBE
2|7|PAN|JUAN RAMON LOPEZ NARANJO|LUIS RICARDO MARTINEZ CABRALES
2|7|PRI|ADRIANA LOPEZ QUINTERO|MARIA ESTHER BARBOSA RODRIGUEZ
2|7|PRD|JUAN RAMON LOPEZ NARANJO|LUIS RICARDO MARTINEZ CABRALES
2|7|PVEM|JULIO ANTONIO VALENCIA MACFARLAND|ALONSO JAQUEZ CONTRERAS
2|7|PT|ERIK ISAAC MORALES ELVIRA|ARMANDO TERAN CORELLA
2|7|MC|JUAN RAMON LOPEZ NARANJO|LUIS RICARDO MARTINEZ CABRALES
2|7|PANAL|YESICA GARCÍA VALDEZ|LUDSAID ROBLES VELEZ
2|7|MORENA|ERIK ISAAC MORALES ELVIRA|ARMANDO TERAN CORELLA
2|7|PES|ERIK ISAAC MORALES ELVIRA|ARMANDO TERAN CORELLA
2|7|PAN-PRD-MC|JUAN RAMON LOPEZ NARANJO|LUIS RICARDO MARTINEZ CABRALES
2|7|PAN-PRD|JUAN RAMON LOPEZ NARANJO|LUIS RICARDO MARTINEZ CABRALES
2|7|PAN-MC|JUAN RAMON LOPEZ NARANJO|LUIS RICARDO MARTINEZ CABRALES
2|7|PRD-MC|JUAN RAMON LOPEZ NARANJO|LUIS RICARDO MARTINEZ CABRALES
2|7|PT-MORENA-PES|ERIK ISAAC MORALES ELVIRA|ARMANDO TERAN CORELLA
2|7|PT-MORENA|ERIK ISAAC MORALES ELVIRA|ARMANDO TERAN CORELLA
2|7|PT-PES|ERIK ISAAC MORALES ELVIRA|ARMANDO TERAN CORELLA
2|7|MORENA-PES|ERIK ISAAC MORALES ELVIRA|ARMANDO TERAN CORELLA
2|8|PAN|DAVID SAÚL GUAKIL|CARLOS CONTRERAS MARTINEZ
2|8|PRI|JORGE MARIO MADRIGAL SILVA|JEHU SANCHEZ REYES
2|8|PRD|DAVID SAÚL GUAKIL|CARLOS CONTRERAS MARTINEZ
2|8|PVEM|KARLA VIVELL MARTINEZ ZENDEJAS|GEORGINA BATIZ SANTILLANA
2|8|PT|HECTOR RENE CRUZ APARICIO|ALFREDO RIVAS AISPURO
2|8|MC|DAVID SAÚL GUAKIL|CARLOS CONTRERAS MARTINEZ
2|8|PANAL|LIZBETH GUADALUPE PÉREZ VENTURA|SABDI BARAJAS MAGAÑA
2|8|MORENA|HECTOR RENE CRUZ APARICIO|ALFREDO RIVAS AISPURO
2|8|PES|HECTOR RENE CRUZ APARICIO|ALFREDO RIVAS AISPURO
2|8|PAN-PRD-MC|DAVID SAÚL GUAKIL|CARLOS CONTRERAS MARTINEZ
2|8|PAN-PRD|DAVID SAÚL GUAKIL|CARLOS CONTRERAS MARTINEZ
2|8|PAN-MC|DAVID SAÚL GUAKIL|CARLOS CONTRERAS MARTINEZ
2|8|PRD-MC|DAVID SAÚL GUAKIL|CARLOS CONTRERAS MARTINEZ
2|8|PT-MORENA-PES|HECTOR RENE CRUZ APARICIO|ALFREDO RIVAS AISPURO
2|8|PT-MORENA|HECTOR RENE CRUZ APARICIO|ALFREDO RIVAS AISPURO
2|8|PT-PES|HECTOR RENE CRUZ APARICIO|ALFREDO RIVAS AISPURO
2|8|MORENA-PES|HECTOR RENE CRUZ APARICIO|ALFREDO RIVAS AISPURO
3|1|PAN|VENUSTIANO PEREZ SANCHEZ|ISAAC MAGALLANES JORDAN
3|1|PRI|MARIA ISABEL DE LA PEÑA ANGULO|LOURDES AMARILLAS MARQUEZ
3|1|PRD|VENUSTIANO PEREZ SANCHEZ|ISAAC MAGALLANES JORDAN
3|1|PVEM|MARÍA GUADALUPE SOTO COTA|BLANCA MIRIAM RUEDA LUNA
3|1|PT|ANA RUTH GARCIA GRANDE|YOLANDA JIMENEZ ESPINOZA
3|1|MC|VENUSTIANO PEREZ SANCHEZ|ISAAC MAGALLANES JORDAN
